date,close,change,pct,open,high,low,volume,fetch_time
2021-07-02,1782.60,0.00,0.00,1778.70,1787.90,1778.30,23,
2021-07-06,1793.50,10.90,0.61,1786.70,1809.80,1786.70,332,
2021-07-07,1801.50,8.00,0.45,1798.70,1808.40,1797.20,244,
2021-07-08,1799.60,-1.90,-0.11,1797.00,1818.50,1797.00,148,
2021-07-09,1810.00,10.40,0.58,1803.60,1810.10,1798.80,218,
2021-07-12,1805.50,-4.50,-0.25,1802.60,1805.50,1799.50,147,
2021-07-13,1809.40,3.90,0.22,1808.10,1812.00,1800.60,78,
2021-07-14,1824.30,14.90,0.82,1813.10,1829.00,1813.10,707,
2021-07-15,1828.40,4.10,0.22,1831.60,1833.00,1823.40,99,
2021-07-16,1814.50,-13.90,-0.76,1830.10,1831.40,1814.50,78,
2021-07-19,1808.70,-5.80,-0.32,1803.30,1813.40,1803.30,33,
2021-07-20,1810.90,2.20,0.12,1812.90,1824.00,1810.90,128,
2021-07-21,1802.90,-8.00,-0.44,1807.00,1807.00,1800.00,135,
2021-07-22,1805.00,2.10,0.12,1793.60,1805.00,1793.60,2,
2021-07-23,1801.40,-3.60,-0.20,1800.00,1801.40,1800.00,1,
2021-07-26,1798.70,-2.70,-0.15,1802.50,1802.50,1797.20,17,
2021-07-27,1799.50,0.80,0.04,1803.70,1803.70,1799.50,1,
2021-07-28,1799.50,0.00,0.00,1799.50,1799.50,1799.50,209783,
2021-07-29,1831.20,31.70,1.76,1806.60,1832.60,1806.10,30496,
2021-07-30,1812.60,-18.60,-1.02,1828.00,1830.50,1808.90,3100,
2021-08-02,1818.10,5.50,0.30,1812.40,1818.70,1804.80,1334,
2021-08-03,1810.10,-8.00,-0.44,1812.30,1813.50,1806.00,3341,
2021-08-04,1810.50,0.40,0.02,1809.30,1831.30,1806.30,2860,
2021-08-05,1805.10,-5.40,-0.30,1810.80,1813.70,1796.00,588,
2021-08-06,1760.00,-45.10,-2.50,1799.80,1800.10,1758.40,859,
2021-08-09,1723.40,-36.60,-2.08,1753.50,1753.80,1692.60,1621,
2021-08-10,1728.80,5.40,0.31,1728.60,1735.20,1720.10,1363,
2021-08-11,1750.40,21.60,1.25,1727.30,1752.20,1727.30,542,
2021-08-12,1749.00,-1.40,-0.08,1749.70,1752.40,1745.50,739,
2021-08-13,1775.20,26.20,1.50,1758.30,1777.30,1757.40,436,
2021-08-16,1786.90,11.70,0.66,1776.90,1787.80,1771.90,219,
2021-08-17,1785.00,-1.90,-0.11,1787.70,1794.20,1780.00,200,
2021-08-18,1781.60,-3.40,-0.19,1787.80,1791.50,1779.00,263,
