date,close,change,pct,z_score,open,high,low,volume,fetch_time
6/9/2021,13911.75,0.00,0.00,0.00,13911.75,13911.75,13911.75,0,
6/10/2021,14020.33,108.58,0.78,0.00,14020.33,14020.33,14020.33,0,
6/11/2021,14069.42,49.09,0.35,0.00,14069.42,14069.42,14069.42,0,
6/14/2021,14174.14,104.72,0.74,0.00,14174.14,14174.14,14174.14,0,
6/15/2021,14072.86,-101.28,-0.71,0.00,14072.86,14072.86,14072.86,0,
6/16/2021,14039.68,-33.18,-0.24,0.00,14039.68,14039.68,14039.68,0,
6/17/2021,14161.35,121.67,0.87,0.00,14161.35,14161.35,14161.35,0,
6/18/2021,14030.38,-130.97,-0.92,0.00,14030.38,14030.38,14030.38,0,
6/21/2021,14141.48,111.10,0.79,0.00,14141.48,14141.48,14141.48,0,
6/22/2021,14253.27,111.79,0.79,0.00,14253.27,14253.27,14253.27,0,
6/23/2021,14271.73,18.46,0.13,0.00,14271.73,14271.73,14271.73,0,
6/24/2021,14369.71,97.98,0.69,0.00,14369.71,14369.71,14369.71,0,
6/25/2021,14360.39,-9.32,-0.06,0.00,14360.39,14360.39,14360.39,0,
6/28/2021,14500.51,140.12,0.98,0.00,14500.51,14500.51,14500.51,0,
6/29/2021,14528.33,27.82,0.19,0.00,14528.33,14528.33,14528.33,0,
6/30/2021,14503.95,-24.38,-0.17,0.00,14503.95,14503.95,14503.95,0,
7/1/2021,14522.38,18.43,0.13,0.00,14522.38,14522.38,14522.38,0,
7/2/2021,14639.33,116.95,0.81,0.00,14639.33,14639.33,14639.33,0,
7/6/2021,14663.64,24.31,0.17,0.00,14663.64,14663.64,14663.64,0,
7/7/2021,14665.06,1.42,0.01,0.00,14665.06,14665.06,14665.06,0,
7/8/2021,14559.78,-105.28,-0.72,0.00,14559.78,14559.78,14559.78,0,
7/9/2021,14701.92,142.14,0.98,0.00,14701.92,14701.92,14701.92,0,
7/12/2021,14733.24,31.32,0.21,0.00,14733.24,14733.24,14733.24,0,
7/13/2021,14677.65,-55.59,-0.38,0.00,14677.65,14677.65,14677.65,0,
7/14/2021,14644.95,-32.70,-0.22,0.00,14644.95,14644.95,14644.95,0,
7/15/2021,14543.13,-101.82,-0.70,0.00,14543.13,14543.13,14543.13,0,
7/16/2021,14427.24,-115.89,-0.80,0.00,14427.24,14427.24,14427.24,0,
7/19/2021,14274.98,-152.26,-1.06,0.00,14274.98,14274.98,14274.98,0,
7/20/2021,14498.88,223.90,1.57,0.00,14498.88,14498.88,14498.88,0,
7/21/2021,14631.95,133.07,0.92,0.00,14631.95,14631.95,14631.95,0,
7/22/2021,14684.60,52.65,0.36,0.00,14684.60,14684.60,14684.60,0,
7/23/2021,14836.99,152.39,1.04,0.00,14836.99,14836.99,14836.99,0,
7/26/2021,14840.71,3.72,0.03,0.00,14840.71,14840.71,14840.71,0,
7/27/2021,14660.58,-180.13,-1.21,0.00,14660.58,14660.58,14660.58,0,
